% oracle          &      #Q  &   #Gate   &   Ideal   &  cost_GR   &   ratio_GR   &  time_GR   &  cost_SE1  &  ratio_SE1   &  time_SE1  &  CIR_SE1   &  TIx_SE1   \\
\quad q17\_xmg    &      12  &      160  &      136  &       337  &        2.48  &      0.35  &       318  &        2.34  &      0.32  &      5.64  &       0.9  \\
\quad q499\_xmg   &     172  &    2,586  &    1,576  &     4,630  &        2.94  &      0.90  &     4,462  &        2.83  &      1.14  &      3.63  &       1.3  \\
\quad q1355\_xmg  &     188  &    2,558  &    1,167  &     3,705  &        3.17  &      0.91  &     3,453  &        2.96  &      1.10  &      6.80  &       1.2  \\
\quad q432\_xmg   &     202  &    4,137  &      967  &     3,612  &        3.74  &      0.86  &     3,214  &        3.32  &      2.01  &     11.02  &       2.3  \\
\quad q1908\_xmg  &     255  &    5,184  &    1,382  &     4,850  &        3.51  &      0.93  &     4,809  &        3.48  &      1.36  &      0.85  &       1.5  \\
\quad q880\_xmg   &     325  &    7,844  &    2,065  &     6,472  &        3.13  &      0.96  &     6,563  &        3.18  &      2.09  &     -1.41  &       2.2  \\
\quad q2670\_xmg  &     660  &   12,720  &    1,298  &     6,199  &        4.78  &      4.79  &     5,795  &        4.46  &     33.43  &      6.52  &       7.0  \\
\quad q6288\_xmg  &     840  &   30,653  &    2,958  &    13,545  &        4.58  &      4.91  &    12,502  &        4.23  &     67.74  &      7.70  &      13.8  \\
\quad q3540\_xmg  &     991  &   25,784  &    3,455  &    14,154  &        4.10  &      4.94  &    13,849  &        4.01  &     41.38  &      2.15  &       8.4  \\
\quad q7552\_xmg  &   1,380  &   27,453  &    4,839  &    15,006  &        3.10  &     40.83  &    14,741  &        3.05  &    171.80  &      1.77  &       4.2  \\
\quad q5315\_xmg  &   1,573  &   33,588  &    1,921  &    12,297  &        6.40  &     40.28  &    11,231  &        5.85  &    401.26  &      8.67  &      10.0  \\
